state,predicted_data,id
AK,2,1
AL,2,2
AR,2,3
AZ,2,4
CA,2,5
CO,2,6
CT,2,7
DC,2,8
DE,2,9
FL,2,10
GA,2,11
HI,1,12
IA,2,13
ID,2,14
IL,2,15
IN,2,16
KS,2,17
KY,2,18
LA,2,19
MA,2,20
MD,2,21
ME,2,22
MI,2,23
MN,2,24
MO,2,25
MP,1,26
MS,2,27
MT,2,28
NC,2,29
ND,2,30
NE,2,31
NH,1,32
NJ,2,33
NM,2,34
NV,2,35
NY,2,36
OH,2,37
OK,2,38
OR,2,39
PA,2,40
PR,1,41
RI,2,42
SC,2,43
SD,2,44
TN,2,45
TX,2,46
UT,2,47
VA,2,48
VT,2,49
WA,2,50
WI,2,51
WV,2,52
WY,2,53
AK,2,54
AL,2,55
AR,2,56
AZ,2,57
CA,2,58
CO,2,59
CT,2,60
DC,2,61
DE,2,62
FL,2,63
GA,2,64
HI,2,65
IA,2,66
ID,2,67
IL,2,68
IN,2,69
KS,2,70
KY,2,71
LA,2,72
MA,2,73
MD,2,74
ME,2,75
MI,2,76
MN,2,77
MO,2,78
MP,0,79
MS,2,80
MT,2,81
NC,2,82
ND,2,83
NE,2,84
NH,2,85
NJ,2,86
NM,2,87
NV,2,88
NY,2,89
OH,2,90
OK,2,91
OR,2,92
PA,2,93
PR,1,94
RI,2,95
SC,2,96
SD,2,97
TN,2,98
TX,2,99
UT,2,100
VA,2,101
VT,2,102
WA,2,103
WI,2,104
WV,2,105
WY,2,106
AK,2,107
AL,2,108
AR,2,109
AZ,2,110
CA,2,111
CO,2,112
CT,2,113
DC,2,114
DE,2,115
FL,2,116
GA,2,117
HI,2,118
IA,2,119
ID,2,120
IL,2,121
IN,2,122
KS,2,123
KY,2,124
LA,2,125
MA,2,126
MD,2,127
ME,2,128
MI,2,129
MN,2,130
MO,2,131
MP,1,132
MS,2,133
MT,2,134
NC,2,135
ND,2,136
NE,2,137
NH,2,138
NJ,2,139
NM,2,140
NV,2,141
NY,2,142
OH,2,143
OK,2,144
OR,2,145
PA,2,146
PR,2,147
RI,2,148
SC,2,149
SD,2,150
TN,2,151
TX,2,152
UT,2,153
VA,2,154
VT,2,155
WA,2,156
WI,2,157
WV,2,158
WY,2,159
AK,2,160
AL,2,161
AR,2,162
AZ,2,163
CA,2,164
CO,2,165
CT,1,166
DC,2,167
DE,2,168
FL,2,169
GA,2,170
HI,2,171
IA,2,172
ID,2,173
IL,2,174
IN,2,175
KS,2,176
KY,2,177
LA,1,178
MA,2,179
MD,2,180
ME,2,181
MI,2,182
MN,2,183
